S No,Issuer,Issued vouchers,Redeemed Vouchers,Month
1,National Health Authority: AB-PMJAY Lab Voucher,2377,39,Apr 2023
2,Odisha Government: Seed Voucher,1,0,Apr 2023
3,Madhya Pradesh Government: Cycle Voucher,1,0,Apr 2023
4,Tripura Government: Student Stipend Voucher,22,23,Apr 2023
5,Rajasthan Government: Scooty Voucher,2404,1227,Apr 2023
6,National Health Mission: Lab Voucher,28617,4245,Apr 2023
7,Karnataka Government: Borewell & Pumset Voucher (Indian Bank),6,6,Apr 2023
8,Karnataka Government: Borewell & Pumpset Voucher (BOB),39,4,Apr 2023
9,Haryana Government: Agriculture Equipment Voucher,5851,1652,Apr 2023
10,National Health TB Program,18,3,Apr 2023
11,Karnataka Government: School & College Fees Voucher,9,0,Apr 2023
12,Ambulance Voucher,1,0,Apr 2023
13,Karnataka Government: Borewell & Pumset Voucher (ICICI),5,0,Apr 2023
1,National Health Authority: AB-PMJAY Lab Voucher,308,164,Mar 2023
2,Odisha Government: Seed Voucher,8,3,Mar 2023
3,Madhya Pradesh Government: Agriculture Equipment Voucher,8,2,Mar 2023
4,Madhya Pradesh Government: Cycle Voucher,322,1042,Mar 2023
5,Tripura Government: Student Stipend Voucher,343,0,Mar 2023
6,Rajasthan Government: Scooty Voucher,3410,1906,Mar 2023
7,National Health Mission: Lab Voucher,17767,2686,Mar 2023
8,Karnataka Government: Borewell & Pumset Voucher (Indian Bank),3856,9,Mar 2023
9,Rajasthan Government: Fuel Voucher,8,3,Mar 2023
10,Karnataka Government: Borewell & Pumpset Voucher (BOB),54,4,Mar 2023
11,Haryana Government: Agriculture Equipment Voucher,23,1,Mar 2023
12,National Health TB Program,12,2,Mar 2023
13,Karnataka Government: School & College Fees Voucher,4,1,Mar 2023
14,Ambulance Voucher,41,12,Mar 2023
1,National Health Authority: AB-PMJAY Lab Voucher,18058,2070,Feb 2023
2,Odisha Government: Seed Voucher,16,9,Feb 2023
3,Madhya Pradesh Government: Agriculture Equipment Voucher,20,8,Feb 2023
4,Madhya Pradesh Government: Cycle Voucher,5391,2884,Feb 2023
5,Rajasthan Government: Scooty Voucher,27,16,Feb 2023
6,National Health Mission: Lab Voucher,10406,2033,Feb 2023
7,Karnataka Government: Borewell & Pumset Voucher (Indian Bank),22,0,Feb 2023
8,Rajasthan Government: Fuel Voucher,27,0,Feb 2023
1,National Health Authority: AB-PMJAY Lab Voucher,28501,2961,Jan 2023
2,Madhya Pradesh Government: Agriculture Equipment Voucher,42,16,Jan 2023
3,Tripura Government: Student Stipend Voucher,26,11,Jan 2023
4,National Health Mission: Lab Voucher,187,19,Jan 2023
1,National Health Authority: AB-PMJAY Lab Voucher,30468,2959,Dec 2022
2,Madhya Pradesh Government: Agriculture Equipment Voucher,106,50,Dec 2022
3,Odisha Government: Seed Voucher,18,0,Dec 2022
4,Haryana Government: Mobile Voucher,23,4,Dec 2022
5,Tripura Government: Student Stipend Voucher,7,0,Dec 2022
6,Madhya Pradesh Government: Cycle Voucher,7,3,Dec 2022
7,National Health Mission: Lab Voucher,36,4,Dec 2022
1,National Health Authority: AB-PMJAY Lab Voucher,28113,3257,Nov 2022
2,Madhya Pradesh Government: Agriculture Equipment Voucher,113,51,Nov 2022
3,Madhya Pradesh Government: Cycle Voucher,36,7,Nov 2022
1,National Health Authority: AB-PMJAY Lab Voucher,7369,584,Oct 2022
2,Odisha Government: Seed Voucher,234,8,Oct 2022
3,Madhya Pradesh Government: Agriculture Equipment Voucher,131,55,Oct 2022
4,Madhya Pradesh Government: Cycle Voucher,534,13,Oct 2022
1,National Health Authority: AB-PMJAY Lab Voucher,94,15,Sep 2022
2,Haryana Government: Mobile Voucher,5269,2207,Sep 2022
3,Madhya Pradesh Government: Agriculture Equipment Voucher,685,311,Sep 2022
4,Odisha Government: Seed Voucher,596,0,Sep 2022
5,Madhya Pradesh Government: Cycle Voucher,6,0,Sep 2022
